draw,accuracy,auc
0,0.5217391304347826,0.7878787878787878
1,0.5217391304347826,0.7878787878787878
2,0.5217391304347826,0.48484848484848486
3,0.6086956521739131,0.6136363636363636
4,0.5217391304347826,0.7348484848484848
5,0.5217391304347826,0.5454545454545455
6,0.5217391304347826,0.4090909090909091
7,0.5217391304347826,0.49242424242424243
8,0.5217391304347826,0.5757575757575758
9,0.5217391304347826,0.5833333333333333
10,0.5217391304347826,0.803030303030303
11,0.5217391304347826,0.8409090909090909
12,0.5217391304347826,0.5227272727272727
13,0.5217391304347826,0.5151515151515151
14,0.5217391304347826,0.6893939393939394
15,0.5217391304347826,0.6515151515151515
16,0.5217391304347826,0.6893939393939393
17,0.5217391304347826,0.6818181818181819
18,0.5217391304347826,0.5303030303030303
19,0.5217391304347826,0.5984848484848485
20,0.5217391304347826,0.5151515151515151
21,0.5217391304347826,0.5454545454545454
22,0.5217391304347826,0.46969696969696967
23,0.5217391304347826,0.6212121212121212
24,0.5217391304347826,0.5454545454545454
25,0.5217391304347826,0.5151515151515151
26,0.5217391304347826,0.6136363636363636
27,0.5217391304347826,0.46212121212121215
28,0.5217391304347826,0.6590909090909091
29,0.5217391304347826,0.6136363636363635
30,0.5217391304347826,0.6060606060606061
31,0.5217391304347826,0.7045454545454546
32,0.5217391304347826,0.5606060606060606
33,0.5217391304347826,0.7954545454545454
34,0.5217391304347826,0.4696969696969697
35,0.5217391304347826,0.43939393939393945
36,0.5217391304347826,0.5833333333333333
37,0.5217391304347826,0.6287878787878788
38,0.5217391304347826,0.553030303030303
39,0.5217391304347826,0.4545454545454546
40,0.5217391304347826,0.7272727272727273
41,0.5217391304347826,0.6818181818181818
42,0.5217391304347826,0.5984848484848485
43,0.4782608695652174,0.6212121212121212
44,0.5217391304347826,0.5151515151515151
45,0.5217391304347826,0.75
46,0.5217391304347826,0.5151515151515151
47,0.5217391304347826,0.6060606060606061
48,0.5217391304347826,0.446969696969697
49,0.5217391304347826,0.5303030303030303
50,0.5217391304347826,0.6212121212121212
51,0.5217391304347826,0.5075757575757576
52,0.5217391304347826,0.5151515151515151
53,0.5217391304347826,0.7121212121212122
54,0.5217391304347826,0.4318181818181818
55,0.5217391304347826,0.5681818181818181
56,0.5217391304347826,0.5454545454545454
57,0.5217391304347826,0.696969696969697
58,0.5217391304347826,0.3712121212121212
59,0.5217391304347826,0.5151515151515151
60,0.6086956521739131,0.7045454545454546
61,0.5217391304347826,0.48484848484848486
62,0.5217391304347826,0.6136363636363636
63,0.5217391304347826,0.8787878787878788
64,0.5217391304347826,0.6212121212121212
65,0.5217391304347826,0.5833333333333334
66,0.5217391304347826,0.46212121212121215
67,0.5652173913043478,0.712121212121212
68,0.5652173913043478,0.7045454545454545
69,0.5217391304347826,0.5
70,0.5217391304347826,0.5606060606060606
71,0.5217391304347826,0.553030303030303
72,0.5652173913043478,0.75
73,0.5217391304347826,0.8712121212121211
74,0.5217391304347826,0.7878787878787878
75,0.5217391304347826,0.5378787878787878
76,0.5217391304347826,0.6136363636363636
77,0.5217391304347826,0.6818181818181819
78,0.5217391304347826,0.43939393939393945
79,0.5217391304347826,0.4166666666666667
80,0.5652173913043478,0.6818181818181818
81,0.5217391304347826,0.5984848484848484
82,0.5217391304347826,0.5
83,0.5217391304347826,0.6742424242424242
84,0.5217391304347826,0.6363636363636364
85,0.5217391304347826,0.803030303030303
86,0.5217391304347826,0.5303030303030303
87,0.5217391304347826,0.46212121212121215
88,0.5217391304347826,0.34090909090909094
89,0.5217391304347826,0.5909090909090908
90,0.5217391304347826,0.3863636363636364
91,0.5217391304347826,0.6060606060606061
92,0.5652173913043478,0.6969696969696969
93,0.5217391304347826,0.5
94,0.5217391304347826,0.34090909090909094
95,0.5217391304347826,0.5681818181818181
96,0.5217391304347826,0.3106060606060606
97,0.5217391304347826,0.46212121212121215
98,0.5217391304347826,0.6893939393939394
99,0.5217391304347826,0.43181818181818177
